0.36,0.9,1.6963
1,0.7,0.62786
0.13,0.7,1.4824
0.67,0.6,-0.24061
0.67,0.92,0.074102
0.64,0.86,0.03927
0.98,0.91,0.87774
0.19,0.64,1.6162
0.67,0.41,-0.48146
0.08,0.16,0.66677
0.23,0.73,1.7558
0.45,0.27,0.58374
0.52,0.77,0.65361
0.19,1,1.8719
0.12,0.27,0.94289
0.08,0.4,0.79399
0.98,0.83,0.72748
0.28,0.76,1.686
0.8,0.77,-0.084083
0.38,0.3,1.0124
0.77,0.06,-0.99606
0.79,0.33,-0.64191
0.3,0.49,1.4203
0.35,0.51,1.3388
0.91,0.75,0.22493
0.42,0.7,1.1788
0.38,0.94,1.6545
0.63,0.54,-0.2646
0.7,0.05,-0.90541
0.68,0.57,-0.39377
0.14,0.45,1.2488
0.11,0.69,1.2466
0.12,0.26,1.006
0.41,0.24,0.81148
0.77,0.07,-0.95083
0.42,0.37,0.75636
0.39,0.19,0.75132
0.61,0.48,-0.11955
0.35,0.56,1.4008
0.38,0.51,1.1779
0.15,0.88,1.6987
0.64,0.82,-0.038707
0.82,0.61,-0.24639
0.17,0.94,1.8632
0.21,0.32,1.3194
0.55,0.64,0.27236
0.06,0.19,0.52192
0.02,0.97,1.0959
0.69,0.18,-0.71128
0.81,0.21,-0.78464
0.97,0.55,0.35524
0.44,0.41,0.80477
0.45,0.93,1.2558
0.7,0.27,-0.67541
0.9,0.58,-0.010433
0.73,0.86,-0.13883
0.02,0.06,0.21079
0.86,0.72,-0.019586
0.68,0.59,-0.25689
0.68,0.2,-0.80447
0.58,0.89,0.50501
0.44,0.43,0.79367
0.19,0.16,1.1295
0.26,0.88,1.8365
0.79,0.6,-0.42196
0.66,0.74,-0.12963
0.44,0.03,0.31732
0.44,0.18,0.6016
0.37,0.48,1.1508
0.18,0.91,1.752
0.21,0.4,1.3398
0.09,0.7,1.2382
0.83,0.82,-0.044781
0.14,0.28,1.0166
0.97,0.24,0.10507
0.29,0.65,1.739
0.02,0.72,0.80936
0.62,0.52,-0.050147
0.79,0.42,-0.61535
0.74,0.85,-0.29066
0.34,0.12,1.0278
0.16,0.13,0.99234
0.34,0.54,1.4544
0.46,0.16,0.32832
0.06,0.34,0.78637
0.65,0.29,-0.49154
0.67,0.74,-0.11636
0.69,0.58,-0.40953
0.67,0.38,-0.45007
0.54,0.95,0.66092
0.66,0.27,-0.67671
0.15,0.1,0.93055
0.91,0.65,0.098934
0.77,0.21,-0.69658
0.56,0.16,-0.15946
0.41,0.92,1.4114
0.53,0.81,0.75279
0.96,0.71,0.49615
0.21,0.55,1.4011
0.15,0.96,1.686
0.77,0.23,-0.81387
0.84,0.43,-0.38105
0.33,0.93,1.7701
0.63,0.9,0.15383
0.45,0.6,0.93625
0.32,0.35,1.2312
0.34,0.58,1.4375
0,0.99,0.98171
0.65,0.42,-0.34501
0.42,0.58,1.0119
0.37,0.43,1.1446
0,0.31,0.39197
0.69,0.91,-0.017009
0.76,0.54,-0.40149
0.82,0.38,-0.49849
0.51,0.72,0.75468
0.72,0.63,-0.26857
0.96,0.06,-0.20765
0.91,0.4,-0.17345
0.72,0.28,-0.72528
0.15,0.84,1.569
0.31,0.17,1.0401
0.01,0.52,0.59911
0.35,0.29,1.115
0.37,0.41,1.2004
0.94,0.65,0.22907
0.14,0.37,1.2255
0.31,0.83,1.7748
0.75,0.95,-0.072794
0.37,0.16,0.90905
0.85,0.25,-0.59828
0.11,0.08,0.74478
0.08,0.15,0.52004
0.21,0.68,1.6901
0.6,0.1,-0.49549
0.49,0.78,0.83445
0.08,0.43,0.8726
0.34,0.38,1.1378
0.76,0.74,-0.2474
0.9,0.01,-0.64068
0.65,0.13,-0.67974
0.74,0.29,-0.70945
0.53,0.83,0.67676
0.43,0.23,0.63786
0.78,0.23,-0.73663
0.34,0.15,1.0459
0.49,0.37,0.4235
0.72,0.93,-0.083713
0.97,0.56,0.41129
0.75,0.28,-0.61985
0.06,0.16,0.61645
0.31,0.22,1.1895
0.97,0.04,-0.12873
0.58,0.12,-0.34155
0.7,0.51,-0.47381
1,0.38,0.35899
0.13,0.1,0.82524
0.83,0.95,0.055491
0.66,0.37,-0.47213
0.02,0.37,0.50925
0.19,0.26,1.212
0.84,0.99,0.16827
0.51,0.46,0.34704
0.61,0.81,0.16419
0.42,0.59,1.0936
0.91,0.72,0.26103
0.4,0.19,0.72697
0.93,0.82,0.34935
0.62,0.31,-0.43945
0.6,0.97,0.53619
0.75,0.45,-0.52
0.46,0.46,0.73434
0.98,0.24,0.10765
0.56,0.91,0.59282
0.16,0.64,1.4195
0.46,0.93,1.2373
0.82,0.77,-0.15041
0.25,0.65,1.6262
0.82,0.97,0.10637
0.23,0,0.97814
0.03,0.06,0.13373
0.34,0.52,1.3722
0.26,0.28,1.3036
0,0.95,0.94773
0.76,0.39,-0.59202
0.62,0.67,-0.024683
0.6,0.95,0.42723
0.53,0.22,-0.11493
0.52,0.12,-0.011527
0.18,0.57,1.5322
0.44,0.79,1.11
0.08,0.36,0.78417
0.14,0.72,1.5026
0.46,0.33,0.64847
0.64,0.03,-0.77318
0.96,0.84,0.58986
0.56,0.03,-0.34131
0.51,0.42,0.31974
1,0.64,0.65695
0.03,0.37,0.53174
0.19,0.45,1.3709
0.25,0.17,1.1611
0.44,0.66,0.98
0.71,0.97,-0.03095
0.69,0.48,-0.47568
0.09,0.24,0.75798
0.3,0.81,1.8496
