0.195,1.9727
0.867,0.26116
0.429,1.4687
0.914,0.47198
0.387,1.6892
0.035,1.2874
0.27,1.9168
0.294,1.9813
0.279,1.952
0.71,0.11862
0.634,0.24641
0.916,0.5532
0.738,0.011484
0.861,0.27726
0.698,-0.051003
0.784,0.0064904
0.326,1.8531
0.526,0.82205
0.122,1.7514
0.81,0.15611
0.807,0.0013739
0.365,1.6164
0.452,1.301
0.073,1.4597
0.974,0.85917
0.928,0.51138
0.157,1.9448
0.264,2.0408
0.797,-0.026734
0.94,0.61114
0.101,1.5322
0.236,2.0226
0.83,0.12708
0.693,0.030768
0.215,1.9123
0.471,1.1989
0.263,1.9702
0.359,1.7582
0.301,2.0633
0.643,0.26923
0.385,1.6699
0.948,0.61556
0.994,1.0493
0.884,0.3378
0.361,1.8401
0.289,1.8406
0.124,1.6602
0.831,0.082168
0.087,1.5844
0.328,1.9261
0.162,1.8122
0.589,0.44206
0.085,1.5423
0.103,1.6648
0.7,0.086651
0.823,0.032167
0.947,0.7322
0.278,2.1279
0.396,1.7194
0.932,0.54777
0.513,0.94274
0.829,0.11404
0.877,0.27525
0.866,0.32437
0.379,1.6654
0.788,0.02254
0.067,1.3775
0.021,0.97329
0.479,1.0666
0.622,0.31988
0.348,1.8998
0.4,1.5713
0.145,1.7846
0.771,-0.072206
0.531,0.72586
0.746,0.023789
0.646,0.23815
0.637,0.12534
0.055,1.3556
0.08,1.4799
0.355,1.8395
0.987,0.92308
0.574,0.52148
0.873,0.32587
0.284,1.935
0.442,1.3026
0.072,1.3751
0.077,1.3995
0.917,0.50133
0.711,0.035989
0.612,0.34705
0.04,1.1928
0.507,0.84979
0.408,1.6374
0.754,-0.031616
0.058,1.3852
0.581,0.4286
0.954,0.68531
0.037,1.1542
0.681,0.094267
0.435,1.381
0.222,2.0239
0.013,1.0452
0.902,0.35991
0.785,-0.0075515
0.174,1.8475
0.465,1.1444
0.686,0.031897
0.905,0.48261
0.282,2.0337
0.16,1.9323
0.718,0.0099902
0.212,2.0114
0.461,1.3312
0.815,0.18254
0.584,0.52303
0.669,0.2333
0.782,0.039588
0.722,0.1227
0.799,0.042207
0.483,1.0817
0.874,0.32159
0.76,-0.014711
0.502,1.0641
0.352,1.8817
0.852,0.16731
0.477,1.1772
0.518,0.89098
0.615,0.38315
0.229,2.0825
0.334,1.8942
0.677,0.13256
0.621,0.29105
0.367,1.7333
0.169,1.8293
0.216,2.1021
0.853,0.21339
0.501,0.98558
0.011,1.0355
0.2,1.8853
0.689,0.20713
0.737,-0.045398
0.299,1.9898
0.553,0.70343
0.392,1.6343
0.336,1.9216
0.225,2.0352
0.51,0.92073
0.858,0.22261
0.694,0.14517
0.382,1.6864
0.602,0.41853
0.444,1.3378
0.59,0.48734
0.699,0.053199
0.856,0.23445
0.481,1.1381
0.231,2.0761
0.54,0.64336
0.315,1.8491
0.148,1.8469
0.816,0.091142
0.138,1.8411
0.516,0.79228
0.668,0.042352
0.128,1.7677
0.935,0.81673
0.251,2.08
0.767,0.11191
0.252,1.8554
0.595,0.39651
0.308,1.9183
0.202,1.8352
0.118,1.6844
0.431,1.479
0.724,0.19631
0.512,0.9653
0.542,0.76667
0.201,1.9405
